CIP103533;;161230;16/12/16
CIP105258T;;161230;16/12/16
CIP106540;;161230;16/12/16
CIP53-178;ehg;161230;16/12/16
CIP61-6;chh;161230, 170307 redeposit;16/12/16
CIP102199;852;161230;16/12/16
CIP53-159;khh;161230;16/12/16
CIP61-7;chh;170103;16/12/16
CIP1-83;993;170103;16/12/16
CIPA33;3305;170103;16/12/16
CIP51-51;chh;170103;16/12/16
CIP102293;;161230;16/12/16
CIP102671;;161230;16/12/16
CIP102226;;161230;16/12/16
CIP102963;;161230;16/12/16
CIP103047;;161230;16/12/16
CIP100198;;161230;16/12/16
CIP100833;;161230;16/12/16
CIP100883;;161230;16/12/16
CIP102011;;161230;16/12/16
CIP100763;;161230;16/12/16
CIP102223;;161230;16/12/16
CIP100738;;161230;16/12/16
CIP101138;;161230;16/12/16
CIP103082;;161230;16/12/16
CIP103070;;161230;16/12/16
CIP103085;;161230;16/12/16
CIP103087;;161230;16/12/16
CIP107456T;;170106;21/12/16
CIP107454T;;170106;21/12/16
CIP107455T;;170106;21/12/16
CIP111184T;;170106;21/12/16
CIP109479T;;170106;21/12/16
CIP110034T;;170106;21/12/16
CIP108633T;;170106;21/12/16
CIP105516T;;170106;21/12/16
CIP109146T;;170106;21/12/16
CIP110184T;;170103;20/12/16
CIP109999;;partial SSU rRNA segment 170103;20/12/16
CIP110000;;170103;20/12/16
CIP109987;;170103;20/12/16
CIP109973;;170103;20/12/16
CIP109982;;170103;20/12/16
CIP109985;;170103;20/12/16
CIP110376;;170103;20/12/16
CIP110001;;170103;20/12/16
CIP109332T;;170103;20/12/16
CIP109865T;;170103;20/12/16
CIP103535;;170103;20/12/16
CIP103536;;170103;20/12/16
CIP109956;;170103;20/12/16
CIP109957;;170103;20/12/16
CIP109953;;170103;20/12/16
CIP109954;;170103;20/12/16
CIP107447T;;170103;20/12/16
CIP108385T;;170103;20/12/16
CIP110296T;;170103;20/12/16
CIP111113T;;170106;22/12/16
CIP111114T;;170106;22/12/16
CIP111203T;;170106;22/12/16
CIP111200T;;170106;22/12/16
CIP111201T;;170106;22/12/16
CIP111111T;;170106;22/12/16
CIP103048;;170106;23/12/16
CIP103071;;170106;23/12/16
CIP102249;;170106;23/12/16
CIP102706;;170106;23/12/16
CIP103062;;170106;23/12/16
CIP100616;;170106;23/12/16
CIP103052;;170106;23/12/16
CIP102547;;170106;23/12/16
CIP102075;;170106;23/12/16
CIP109514T;;170113;05/01/17
CIP108994T;;170113;05/01/17
CIP105644;;170113;05/01/17
CIP105642;;170113;05/01/17
CIP111235T;;170113;05/01/17
CIP111232T;;170113;05/01/17
CIP111234T;;170113;05/01/17
CIP111055T;;170113;05/01/17
CIP102503T;;170113;05/01/17
CIP103220T;;170113;05/01/17
CIP111236T;;170113;05/01/17
CIP110025T;;170113;05/01/17
CIP110013;;170113, 170203;05/01/17
CIP109811T;;170113;05/01/17
CIP103857;;170113;05/01/17
CIP111198T;;170117;05/01/17
CIP111197T;;170117;05/01/17
CIP111062T;34216;170113;05/01/17
CIP108787T;20005-18;170203;20/01/17
CIP110013;34216;170113/170203;20/01/17
CIPA168;30016;170203;20/01/17
CIP63-8;34216;170203;20/01/17
CIP111197T;32716;170203;20/01/17
CIP111198T;32716;170203;20/01/17
CIP104542T;21815;170203;20/01/17
CIP111086;16216;170203;20/01/17
CIP106290T;1102;170203;20/01/17
CIP109783;27816;170203;20/01/17
CIP111190T;0917;170224;30/01/17
CIP111194T;32016;170217;30/01/17
CIP111195T;32016;170217;30/01/17
CIP58-14;32016;170217;30/01/17
CIP111286T;36216;170217;30/01/17
CIP111287T;36216;170217;30/01/17
CIP111178T;36216;170217;30/01/17
CIP104222;0917;170217;30/01/17
CIP105626;0917;170217;30/01/17
CIP100100T;0917;170217;30/01/17
CIP111019T;6316;170217;02/02/17
CIP102697;1034;170217;02/02/17
CIP111174;34216;170217;02/02/17
CIP111204;33716;170217;02/02/17
CIP111205;33716;170217;02/02/17
CIP111206;33716;170217;02/02/17
CIP111207;33716;170217;02/02/17
CIP111208;33716;170217;02/02/17
CIP111209;33716;170217;02/02/17
CIP111210;33716;170217;02/02/17
CIP111211;33716;170217;02/02/17
CIP111212;33716;170217;02/02/17
CIP111213;33716;170217;02/02/17
CIP111214;34216;170217;02/02/17
CIP111215;34216;170217;02/02/17
CIP111216;34216;170217;02/02/17
CIP111217;34216;170217;02/02/17
CIP111219;34216;170217;02/02/17
CIP111304;2017;170217;02/02/17
CIP103045;11407;170217;02/02/17
CIP103054;14207;170217;02/02/17
CIP103056;7109;170217;02/02/17
CIP103089;17807;170217;02/02/17
CIP103091;21207;170217;02/02/17
CIP103640;005;170217;02/02/17
CIP104270;1050;170217;02/02/17
CIP107217;1078;170217;03/02/17
CIP107448T;1067;170217;03/02/17
CIP109753;33207;170217;03/02/17
CIP108840T;2710;170217;03/02/17
CIP109214T;2710;170224, 170307 redeposit;03/02/17
CIP109241T;2710;170224;03/02/17
CIP109242T;17206;170224;03/02/17
CIP109464T;6607;170224;03/02/17
CIP109489T;2610;170224;03/02/17
CIP109574T;23357;170224;03/02/17
CIP109865T;29008;170224, 170307 redeposit;03/02/17
CIP109890T;34608;170224;03/02/17
CIP111285T;36216;170217;03/02/17
CIP107195;0917;170217;03/02/17
CIP106178;0917;170217;03/02/17
CIP105629;0917;170217;03/02/17
CIP109835;0917;170217;03/02/17
CIP103584;0917;170217;03/02/17
CIP105777;1617;170217;03/02/17
CIP105701;1617;170217;03/02/17
CIP107234;0917;170217;03/02/17
CIP111116;0917;170217;03/02/17
CIP111112T;32716;170224;13/02/17
CIP111236T;34216;170224;13/02/17
CIP111098T;16216;170224;13/02/17
CIP111186T;28516;170224;13/02/17
CIP110951T;13116 pas de souche;170224;13/02/17
CIP106114T;987;170224;13/02/17
CIP81-63T;f92;170224;13/02/17
CIP111233T;34216;170224;13/02/17
CIP103999;34516 LOT 8210 pas de souche;170224;13/02/17
CIP103114T;fhk;170224;13/02/17
CIP108657T;9705;170224;13/02/17
CIP107426T;1080;170224;13/02/17
CIP79-7T;5510;170224 (partial);13/02/17
CIP109938T;;170224;17/02/17
CIP110398T;;170224;17/02/17
CIP110390T;;170224;17/02/17
CIP110235T;;170224;17/02/17
CIP109029;;170224;17/02/17
CIP110368;;170224;17/02/17
CIP110399T;;170224;17/02/17
CIP110192T;;170224;17/02/17
CIP109900T;;170224;17/02/17
CIP110387T;;170224;17/02/17
CIP110183T;;170224;17/02/17
CIP109901T;;170224;17/02/17
CIP110384T;;170224;17/02/17
CIP109898T;;170224;17/02/17
CIP109993;18109;170303;24/02/17
CIP109995;18109;170303;24/02/17
CIP109978;17409;170303;24/02/17
CIP109994;18109;170303;24/02/17
CIP109980;17409;170303;24/02/17
CIP7267;;170303;24/02/17
CIP109992;18109;170303;24/02/17
CIP103584;0917;170217;24/02/17
CIP105630;0917;170303;24/02/17
CIP106179;0917;170303;24/02/17
CIP106352T;0917;170303;24/02/17
CIP111191T;0917;170310;24/02/17
104122;;170317;01/03/17
